Datetime,Watts
21-05-2022 - 23:29:06.731,19
21-05-2022 - 23:29:06.981,19
21-05-2022 - 23:29:07.235,20
21-05-2022 - 23:29:07.485,18
21-05-2022 - 23:29:07.736,19
21-05-2022 - 23:29:07.985,20
21-05-2022 - 23:29:08.234,20
21-05-2022 - 23:29:08.485,20
21-05-2022 - 23:29:08.734,20
21-05-2022 - 23:29:08.985,19
21-05-2022 - 23:29:09.238,19
21-05-2022 - 23:29:09.488,19
21-05-2022 - 23:29:09.738,21
21-05-2022 - 23:29:09.987,19
21-05-2022 - 23:29:10.238,20
21-05-2022 - 23:29:10.487,19
21-05-2022 - 23:29:10.737,19
21-05-2022 - 23:29:10.987,20
21-05-2022 - 23:29:11.241,20
21-05-2022 - 23:29:11.490,20
21-05-2022 - 23:29:11.741,21
21-05-2022 - 23:29:11.991,20
21-05-2022 - 23:29:12.241,20
21-05-2022 - 23:29:12.491,19
21-05-2022 - 23:29:12.740,18
21-05-2022 - 23:29:12.991,19
21-05-2022 - 23:29:13.240,18
21-05-2022 - 23:29:13.490,19
21-05-2022 - 23:29:13.739,20
21-05-2022 - 23:29:13.990,20
21-05-2022 - 23:29:14.244,20
21-05-2022 - 23:29:14.493,21
21-05-2022 - 23:29:14.742,19
21-05-2022 - 23:29:14.993,20
21-05-2022 - 23:29:15.243,20
21-05-2022 - 23:29:15.493,20
21-05-2022 - 23:29:15.742,20
21-05-2022 - 23:29:15.996,19
21-05-2022 - 23:29:16.246,18
21-05-2022 - 23:29:16.496,18
21-05-2022 - 23:29:16.746,19
21-05-2022 - 23:29:16.995,20
21-05-2022 - 23:29:17.245,20
21-05-2022 - 23:29:17.496,19
21-05-2022 - 23:29:17.749,19
21-05-2022 - 23:29:18.000,20
